graph_id,n,h,init,dynamics,beta,step,log_Z
n16_graph0,16,0.0,ground,metropolis,0.1,1,9.690355
n16_graph0,16,0.0,ground,metropolis,0.1,2,9.795347
n16_graph0,16,0.0,ground,metropolis,0.1,3,10.083960
n16_graph0,16,0.0,ground,metropolis,0.1,5,10.341552
n16_graph0,16,0.0,ground,metropolis,0.1,7,10.686721
n16_graph0,16,0.0,ground,metropolis,0.1,11,10.590304
n16_graph0,16,0.0,ground,metropolis,0.1,17,10.694245
n16_graph0,16,0.0,ground,metropolis,0.1,26,10.923998
n16_graph0,16,0.0,ground,metropolis,0.1,40,11.029379
n16_graph0,16,0.0,ground,metropolis,0.1,60,11.164308
n16_graph0,16,0.0,ground,metropolis,0.1,91,11.201916
n16_graph0,16,0.0,ground,metropolis,0.1,138,11.201331
n16_graph0,16,0.0,ground,metropolis,0.1,209,11.321166
n16_graph0,16,0.0,ground,metropolis,0.1,315,11.260303
n16_graph0,16,0.0,ground,metropolis,0.1,475,11.267060
n16_graph0,16,0.0,ground,metropolis,0.1,717,11.257265
n16_graph0,16,0.0,ground,metropolis,0.1,1082,11.227908
n16_graph0,16,0.0,ground,metropolis,0.1,1632,11.203525
n16_graph0,16,0.0,ground,metropolis,0.1,2461,11.215798
n16_graph0,16,0.0,ground,metropolis,0.1,3712,11.259345
n16_graph0,16,0.0,ground,metropolis,0.1,5600,11.230296
n16_graph0,16,0.0,ground,metropolis,0.1,8446,11.234288
n16_graph0,16,0.0,ground,metropolis,0.1,12740,11.215342
n16_graph0,16,0.0,ground,metropolis,0.1,19215,11.200861
n16_graph0,16,0.0,ground,metropolis,0.1,28983,11.201350
n16_graph0,16,0.0,ground,metropolis,0.1,43715,11.202616
n16_graph0,16,0.0,ground,metropolis,0.1,65935,11.206806
n16_graph0,16,0.0,ground,metropolis,0.1,99450,11.207944
n16_graph0,16,0.0,ground,metropolis,0.1,150000,11.209980
n16_graph0,16,0.0,ground,metropolis,0.2,1,8.690355
n16_graph0,16,0.0,ground,metropolis,0.2,2,8.700338
n16_graph0,16,0.0,ground,metropolis,0.2,3,9.021634
n16_graph0,16,0.0,ground,metropolis,0.2,5,9.442656
n16_graph0,16,0.0,ground,metropolis,0.2,7,9.920765
n16_graph0,16,0.0,ground,metropolis,0.2,11,10.122725
n16_graph0,16,0.0,ground,metropolis,0.2,17,10.200625
n16_graph0,16,0.0,ground,metropolis,0.2,26,10.682505
n16_graph0,16,0.0,ground,metropolis,0.2,40,11.006123
n16_graph0,16,0.0,ground,metropolis,0.2,60,11.139464
n16_graph0,16,0.0,ground,metropolis,0.2,91,11.270729
n16_graph0,16,0.0,ground,metropolis,0.2,138,11.314780
n16_graph0,16,0.0,ground,metropolis,0.2,209,11.383450
n16_graph0,16,0.0,ground,metropolis,0.2,315,11.442908
n16_graph0,16,0.0,ground,metropolis,0.2,475,11.485568
n16_graph0,16,0.0,ground,metropolis,0.2,717,11.474312
n16_graph0,16,0.0,ground,metropolis,0.2,1082,11.500556
n16_graph0,16,0.0,ground,metropolis,0.2,1632,11.498271
n16_graph0,16,0.0,ground,metropolis,0.2,2461,11.573874
n16_graph0,16,0.0,ground,metropolis,0.2,3712,11.625159
n16_graph0,16,0.0,ground,metropolis,0.2,5600,11.589410
n16_graph0,16,0.0,ground,metropolis,0.2,8446,11.594564
n16_graph0,16,0.0,ground,metropolis,0.2,12740,11.570945
n16_graph0,16,0.0,ground,metropolis,0.2,19215,11.561426
n16_graph0,16,0.0,ground,metropolis,0.2,28983,11.554185
n16_graph0,16,0.0,ground,metropolis,0.2,43715,11.556947
n16_graph0,16,0.0,ground,metropolis,0.2,65935,11.566517
n16_graph0,16,0.0,ground,metropolis,0.2,99450,11.569198
n16_graph0,16,0.0,ground,metropolis,0.2,150000,11.574109
n16_graph0,16,0.0,ground,metropolis,0.3,1,8.490355
n16_graph0,16,0.0,ground,metropolis,0.3,2,8.605330
n16_graph0,16,0.0,ground,metropolis,0.3,3,8.784874
n16_graph0,16,0.0,ground,metropolis,0.3,5,9.143760
n16_graph0,16,0.0,ground,metropolis,0.3,7,9.834492
n16_graph0,16,0.0,ground,metropolis,0.3,11,10.246436
n16_graph0,16,0.0,ground,metropolis,0.3,17,10.347714
n16_graph0,16,0.0,ground,metropolis,0.3,26,10.800830
n16_graph0,16,0.0,ground,metropolis,0.3,40,11.151263
n16_graph0,16,0.0,ground,metropolis,0.3,60,11.422098
n16_graph0,16,0.0,ground,metropolis,0.3,91,11.581178
n16_graph0,16,0.0,ground,metropolis,0.3,138,11.876874
n16_graph0,16,0.0,ground,metropolis,0.3,209,12.018245
n16_graph0,16,0.0,ground,metropolis,0.3,315,12.173202
n16_graph0,16,0.0,ground,metropolis,0.3,475,12.204671
n16_graph0,16,0.0,ground,metropolis,0.3,717,12.166604
n16_graph0,16,0.0,ground,metropolis,0.3,1082,12.120100
n16_graph0,16,0.0,ground,metropolis,0.3,1632,12.086592
n16_graph0,16,0.0,ground,metropolis,0.3,2461,12.169921
n16_graph0,16,0.0,ground,metropolis,0.3,3712,12.208813
n16_graph0,16,0.0,ground,metropolis,0.3,5600,12.199652
n16_graph0,16,0.0,ground,metropolis,0.3,8446,12.193089
n16_graph0,16,0.0,ground,metropolis,0.3,12740,12.182197
n16_graph0,16,0.0,ground,metropolis,0.3,19215,12.170104
n16_graph0,16,0.0,ground,metropolis,0.3,28983,12.171273
n16_graph0,16,0.0,ground,metropolis,0.3,43715,12.177082
n16_graph0,16,0.0,ground,metropolis,0.3,65935,12.195224
n16_graph0,16,0.0,ground,metropolis,0.3,99450,12.199807
n16_graph0,16,0.0,ground,metropolis,0.3,150000,12.208094
n16_graph0,16,0.0,ground,metropolis,0.5,1,9.690355
n16_graph0,16,0.0,ground,metropolis,0.5,2,9.805330
n16_graph0,16,0.0,ground,metropolis,0.5,3,10.136686
n16_graph0,16,0.0,ground,metropolis,0.5,5,10.588694
n16_graph0,16,0.0,ground,metropolis,0.5,7,11.104463
n16_graph0,16,0.0,ground,metropolis,0.5,11,11.302528
n16_graph0,16,0.0,ground,metropolis,0.5,17,11.498252
n16_graph0,16,0.0,ground,metropolis,0.5,26,12.232637
n16_graph0,16,0.0,ground,metropolis,0.5,40,12.734028
n16_graph0,16,0.0,ground,metropolis,0.5,60,12.893809
